filename	3_types	16_types
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/FCJF0/SX217.WAV	D	large
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	D	large
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/FCJF0/SI648.WAV	D	large
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/FCJF0/SA1.WAV	D	large
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	D	large
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	D	large
/work/hchen605/recordings/5m/D3_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SX217.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SI648.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SA1.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SA2.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SX397.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/MCPM0/SX114.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/MCPM0/SA2.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/MCPM0/SX204.WAV	M	large
/work/hchen605/recordings/5m/M1_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	M	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SA1.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SA2.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SX397.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SX294.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SA1.WAV	D	large
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SI564.WAV	D	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SI648.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SA1.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SA2.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/MCPM0/SX114.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/MCPM0/SX294.WAV	C	large
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	C	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SA1.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SX397.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SX294.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SA1.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SI564.WAV	M	large
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SX384.WAV	M	large
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/FCJF0/SX217.WAV	C	large
